position,points,salary
TE,4.6,2500
TE,4.6,2700
TE,4.6,2500
TE,4.5,2500
TE,4.3,3300
TE,4.2,2500
TE,3.9,2900
TE,3.6,2500
TE,3.5,2500
TE,3.4,2700
TE,3.2,2600
TE,3.1,2500
TE,2.9,2500
TE,2.5,3900
TE,2.4,2500
TE,2.3,2900
TE,2.3,2600
TE,2.2,5600
TE,2.2,2500
TE,2.1,2500
TE,2,2500
TE,1.6,2500
TE,1.6,5100
TE,1.4,2500
TE,1.3,2600
TE,0,3500
TE,0,2800
TE,0,2500
TE,0,3500
TE,0,2500
TE,0,3100
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,3400
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,3000
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,3100
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
Def,24,3000
Def,21,3000
Def,20,2700
Def,19,3100
Def,18,3400
Def,15,3000
Def,14,3500
Def,14,3400
Def,13,2800
Def,13,3700
Def,12,2300
Def,10,2400
Def,10,3000
Def,9,2200
Def,8,2600
Def,8,3300
Def,7,2600
Def,6,2000
Def,6,2300
Def,5,2400
Def,5,2900
Def,5,4100
Def,4,3200
Def,4,2500
Def,4,2400
Def,4,3600
Def,3,3900
Def,3,2100
Def,3,2500
Def,1,2400
Def,0,2200
Def,-1,2200
QB,35.62,7500
QB,33.88,6700
QB,28.66,6300
QB,28.2,6200
QB,25.1,6100
QB,24.66,6400
QB,23.68,6000
QB,22.64,5400
QB,22.22,5300
QB,20.12,5900
QB,19.54,6400
QB,19.36,5400
QB,19,6000
QB,18.34,5000
QB,17.12,4800
QB,17.1,5200
QB,16.74,5000
QB,16.68,4900
QB,15.36,6500
QB,15.32,6300
QB,13.36,5000
QB,13.22,5900
QB,12.86,6600
QB,12.2,4900
QB,12.18,4000
QB,11.92,6100
QB,11.9,5300
QB,11.72,5100
QB,7.92,0
QB,7.1,4400
QB,5.6,5500
QB,3.6,4200
QB,3,5800
QB,2.88,4600
QB,1.16,4700
QB,0.96,4500
QB,0.52,6200
QB,0.12,4000
QB,0,4200
RB,31.1,7200
RB,28,5400
RB,25.5,9200
RB,24.3,6100
RB,24.1,3800
RB,23,8700
RB,21.9,7600
RB,19.8,6200
RB,17.3,6000
RB,17.2,5200
RB,16.8,5700
RB,16.3,3500
RB,15.9,3900
RB,15.7,7000
RB,15.4,0
RB,15.2,3700
RB,13.8,4900
RB,13.5,6200
RB,13.5,6800
RB,13.5,4000
RB,13.1,3200
RB,12.7,6300
RB,11.9,5100
RB,11.7,4200
RB,11.2,3400
RB,10.7,6400
RB,10.6,4600
RB,10.1,3900
RB,9.9,4700
RB,9.8,4300
RB,9.7,6000
RB,9.6,3000
RB,9.4,5000
RB,9,3600
RB,8.8,3800
RB,8.6,5800
RB,8.4,7100
RB,8.3,5900
RB,8,3000
RB,7.4,4400
RB,7.3,9400
RB,7,8200
RB,7,3200
RB,6.7,4100
RB,6.5,3600
RB,5.7,4100
RB,5.7,6500
RB,5.6,3000
RB,5.5,3000
RB,5.3,4700
RB,5,3000
RB,4.5,4500
RB,4.1,3600
RB,3.7,3000
RB,3.7,3200
RB,3.6,4300
RB,3.5,3700
RB,3.3,3200
RB,3.3,3700
RB,3.1,5000
RB,2.5,3700
RB,2.5,3300
RB,2.5,3700
RB,2.4,3700
RB,2.4,3300
RB,2.4,4000
RB,2.3,5300
RB,2.3,3100
RB,2.2,4500
RB,2.1,3000
RB,1.9,3200
RB,1.4,3000
RB,1.3,3000
RB,1.3,3100
RB,1.1,3200
RB,0.9,4000
RB,0.8,3500
RB,0.3,3000
RB,0.2,3000
RB,0.2,3000
RB,0.1,3200
RB,0.1,3300
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3100
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3200
RB,0,3500
RB,0,3000
RB,0,3200
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3300
RB,0,3000
RB,-1,3000
WR,38.2,3500
WR,31.1,7800
WR,30.6,7300
WR,29.1,6500
WR,28.8,4700
WR,28.7,6600
WR,27.7,3700
WR,27.5,5000
WR,25.2,6500
WR,24.2,4600
WR,20.6,7700
WR,20.6,6000
WR,20.4,4500
WR,20.4,3700
WR,18.9,8000
WR,18.5,4500
WR,18.4,4600
WR,17.9,6200
WR,17.9,5900
WR,17.8,7600
WR,17.2,3800
WR,16.7,4400
WR,16.6,5000
WR,16.6,6300
WR,16.4,3000
WR,16.1,4800
WR,16.1,7000
WR,15.6,4400
WR,15.1,4300
WR,14.4,7400
WR,14.3,6800
WR,14.3,4800
WR,14.2,5200
WR,13.4,7500
WR,12.8,5600
WR,12.8,0
WR,12.5,7100
WR,12.4,3000
WR,12.3,3800
WR,12.1,4900
WR,12.1,3300
WR,11.5,4400
WR,11.3,4200
WR,11.3,5500
WR,10.9,7200
WR,10.9,6300
WR,10.6,4000
WR,10.5,3000
WR,10.3,3400
WR,10.1,7000
WR,10,3000
WR,9.3,4900
WR,9.2,6900
WR,9,8100
WR,8.5,4500
WR,8.4,3000
WR,8.2,3700
WR,8.1,6100
WR,8,4200
WR,8,5300
WR,8,4700
WR,7.9,3700
WR,7.6,3900
WR,7.1,3300
WR,7,4000
WR,7,3100
WR,6.9,3000
WR,6.8,4500
WR,6.2,5800
WR,6.2,6400
WR,6.1,3100
WR,6,3700
WR,5.8,3000
WR,5.8,4100
WR,5.6,4500
WR,5.5,4000
WR,5.4,3100
WR,5,3500
WR,4.9,4600
WR,4.8,3200
WR,4.4,3200
WR,4.3,3600
WR,3.9,5800
WR,3.9,3000
WR,3.8,3000
WR,3.5,3700
WR,3.5,3800
WR,3.5,3200
WR,3.3,3300
WR,2.9,3000
WR,2.7,3000
WR,2.7,3800
WR,2.4,3500
WR,2.4,3200
WR,2.3,3200
WR,2.2,3000
WR,2.2,3200
WR,2.1,3200
WR,2.1,3000
WR,2,4300
WR,1.7,3200
WR,1.6,3200
WR,1.6,3200
WR,1.6,3000
WR,1.5,4500
WR,1.5,3200
WR,1.4,3000
WR,1.4,3200
WR,1.3,5400
WR,1.2,4100
WR,1,3100
WR,0.9,3400
WR,0.8,3200
WR,0.64,5300
WR,0.3,3000
WR,0,6400
WR,0,3000
WR,0,4000
WR,0,3000
WR,0,3100
WR,0,3000
WR,0,5900
WR,0,4000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3900
WR,0,3100
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3200
WR,0,3000
WR,0,4100
WR,0,3300
WR,0,3000
WR,0,3100
WR,0,3200
WR,0,3000
WR,0,3200
WR,0,3300
WR,0,3000
WR,0,3300
WR,0,3100
WR,0,3000
WR,0,3000
WR,0,3000
TE,28.2,3800
TE,26.7,7300
TE,22.8,3900
TE,22,2800
TE,20,3300
TE,17.2,6300
TE,12.5,3400
TE,12.3,3300
TE,11.5,3800
TE,10.8,5200
TE,9.9,2900
TE,8.4,6800
TE,7.9,3500
TE,7.4,3100
TE,7.3,3000
TE,7.1,2900
TE,6.8,2600
TE,6.3,2500
TE,6.1,2800
TE,5.9,3200
TE,5.4,3100
TE,5.3,2700
TE,5.1,2700
TE,4.8,2600
TE,4.5,2700
TE,4.5,2500
TE,4.5,4700
TE,4.4,2700
TE,4.4,2500
TE,4.1,2900
TE,4.1,3100
TE,3.9,3200
TE,3.4,2500
TE,3.2,2900
TE,3.1,2500
TE,3,2700
TE,2.8,2500
TE,2.5,3700
TE,2.4,2600
TE,2.3,2600
TE,2.1,2500
TE,2.1,2700
TE,1.9,2500
TE,1.9,2700
TE,1.8,2500
TE,1.8,2500
TE,1.7,2500
TE,1.7,3000
TE,1.7,2500
TE,1.6,2700
TE,1.6,2500
TE,1.4,2500
TE,1.4,2500
TE,0.9,2700
TE,0,2600
TE,0,2500
TE,0,2500
TE,0,3700
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2600
TE,0,2500
TE,0,2600
TE,0,2500
TE,0,2500
TE,0,2700
TE,0,2500
TE,0,2800
TE,0,2500
TE,0,2500
TE,0,4400
TE,0,2500
TE,0,2600
TE,0,2500
TE,0,2500
TE,0,3600
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
TE,0,2500
Def,37,3700
Def,13,3200
Def,12,3100
Def,11,3500
Def,10,2800
Def,10,2300
Def,9,2500
Def,9,3000
Def,8,2400
Def,8,2700
Def,8,3100
Def,8,3200
Def,7,3300
Def,7,2800
Def,7,2400
Def,6,3400
Def,6,3100
Def,6,3000
Def,5,2600
Def,5,2600
Def,5,3900
Def,5,2500
Def,4,3800
Def,3,2000
Def,3,2900
Def,3,2100
Def,2,2200
Def,2,2300
Def,2,2500
Def,1,2700
Def,1,3300
Def,-2,2600
QB,30.12,5000
QB,25.34,5700
QB,24.44,8600
QB,23.58,6200
QB,23.16,7100
QB,22.58,6800
QB,22.46,6300
QB,21.98,7300
QB,20.88,6700
QB,20.64,5000
QB,19.66,7500
QB,18.96,8000
QB,17.6,5000
QB,16.56,6000
QB,14.9,8700
QB,13.36,7200
QB,13.16,5900
QB,13.14,8400
QB,10.78,7400
QB,10.78,5000
QB,9.74,5900
QB,9.42,8600
QB,9.4,5000
QB,9.26,7500
QB,9,7700
QB,8.92,5300
QB,8.84,7300
QB,8.78,5300
QB,8.2,5200
QB,7.88,5000
QB,7.72,5200
QB,5.98,0
QB,5.46,5000
QB,5.2,5000
QB,4.1,7800
QB,0.24,5000
QB,0.18,
QB,0,5000
QB,0,5000
QB,0,5000
QB,0,5000
QB,0,5000
RB,30.7,7000
RB,26.8,5000
RB,24.1,8800
RB,20.8,3100
RB,19.9,4500
RB,19.6,3000
RB,19.4,4800
RB,18.6,6200
RB,18.6,3000
RB,17.6,7300
RB,17.6,6900
RB,16,6000
RB,16,9500
RB,15.5,3500
RB,15.4,8500
RB,15.2,4800
RB,14.5,3000
RB,14.4,3000
RB,14.2,4200
RB,14.1,6500
RB,13.8,3300
RB,13.7,5000
RB,12.8,5000
RB,12.7,3000
RB,12.4,6700
RB,12.3,3300
RB,11.7,3500
RB,10.7,3000
RB,10.7,3600
RB,10.5,3000
RB,10.3,7900
RB,9.8,3000
RB,9.6,4200
RB,9.4,3500
RB,9.3,3600
RB,8.9,5700
RB,8.8,3000
RB,8.7,4500
RB,8.6,3000
RB,8.4,4500
RB,8.2,7600
RB,8.2,4600
RB,7.6,3400
RB,7.6,3000
RB,7.2,3000
RB,7.2,5900
RB,7.1,3000
RB,7.1,5000
RB,7.1,3000
RB,6.8,5000
RB,6.7,3500
RB,6.2,4400
RB,6,6000
RB,5.8,4000
RB,5.7,3600
RB,5,3000
RB,4.5,4100
RB,4.2,3000
RB,4.1,3000
RB,4.1,3000
RB,3.9,3000
RB,3.6,3600
RB,3.2,3800
RB,3.2,3000
RB,3.1,3000
RB,3,3000
RB,2.9,3000
RB,2.9,4200
RB,2.8,3000
RB,2.7,3400
RB,2.6,3000
RB,2.6,3000
RB,2.5,3000
RB,2.3,3500
RB,2.1,3000
RB,1.9,3000
RB,1.9,3000
RB,1.8,3000
RB,1.5,3000
RB,1.2,3000
RB,1.1,3000
RB,0.8,3600
RB,0.8,3800
RB,0.8,3000
RB,0.7,3000
RB,0.6,3000
RB,0.5,3000
RB,0.4,3600
RB,0.3,3000
RB,0.3,3000
RB,0.2,3000
RB,0.2,4200
RB,0.2,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
WR,41.1,4800
WR,39.5,9600
WR,38.3,3700
WR,34.8,8500
WR,32.4,4900
WR,27.5,4600
WR,25.9,8500
WR,24.8,4800
WR,23.6,7300
WR,22.5,8500
WR,20.4,6300
WR,19.9,8700
WR,18.3,5300
WR,17,4200
WR,16.6,5800
WR,16.4,6100
WR,16.1,5400
WR,15.8,3000
WR,15.2,8300
WR,14.62,3200
WR,14.6,8400
WR,14.4,3000
WR,13.9,4400
WR,13.5,5500
WR,13.3,7000
WR,13.2,6000
WR,13.1,5600
WR,12.9,3000
WR,12.9,3800
WR,12.3,5700
WR,11.7,3500
WR,11.1,3900
WR,11,3300
WR,10.5,5400
WR,9.9,5200
WR,9.8,8100
WR,9.8,3500
WR,9.6,3000
WR,9.3,3000
WR,9.2,5400
WR,9.1,3900
WR,9.1,3000
WR,8.1,4100
WR,8.1,4800
WR,7.9,6100
WR,7.9,3000
WR,7.9,3000
WR,7.8,4000
WR,7.8,5000
WR,7.6,4000
WR,7.5,6000
WR,7.5,4300
WR,7.3,3300
WR,7.3,4600
WR,7.2,3500
WR,6.4,4200
WR,6.3,3000
WR,6.2,3700
WR,6,3600
WR,5.9,4600
WR,5.7,4300
WR,5.7,3000
WR,5.5,3500
WR,5.5,3000
WR,5.4,7500
WR,5.4,3000
WR,5.4,3700
WR,5.3,3000
WR,5.3,3300
WR,4.9,4700
WR,4.7,3000
WR,4.6,4600
WR,4.5,3000
WR,4.2,3000
WR,4,3000
WR,3.8,3000
WR,3.8,3000
WR,3.8,4300
WR,3.7,3500
WR,3.6,3000
WR,3.5,3400
WR,3.4,3000
WR,3.4,3200
WR,3.4,3300
WR,3.3,3000
WR,3.2,3000
WR,3.1,4600
WR,3,3600
WR,2.8,4200
WR,2.7,4200
WR,2.7,3000
WR,2.7,3000
WR,2.6,3000
WR,2.6,4000
WR,2.5,5900
WR,2.4,3000
WR,2.4,3000
WR,2.1,5500
WR,2,3000
WR,1.9,6200
WR,1.9,3000
WR,1.9,3000
WR,1.7,3000
WR,1.7,3000
WR,1.7,3000
WR,1.7,3000
WR,1.6,3000
WR,1.6,3000
WR,1.6,3000
WR,1.3,3200
WR,1.2,3900
WR,0.1,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3800
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,7400
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,5600
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,4300
WR,0,3000
TE,22.6,4700
TE,15.5,4300
TE,15.4,4600
TE,15,3500
TE,13.9,5300
TE,13.6,3000
TE,12.1,3000
TE,11.4,6700
TE,11.3,4400
TE,11,3200
TE,10.7,5900
TE,10.3,3200
TE,9.6,5100
TE,9,3000
TE,8.9,5000
TE,7.5,3000
TE,7.1,4400
TE,7.1,3000
TE,7.1,4500
TE,6.7,3400
TE,6.6,3200
TE,6.4,3000
TE,6.4,3000
TE,6.1,3000
TE,6.1,3000
TE,5.9,3000
TE,5.8,3000
TE,5.5,3000
TE,5.3,3000
TE,5.2,4200
TE,4.7,5600
TE,4.6,3500
TE,4.6,3300
TE,4.5,3000
TE,3.9,3000
TE,3.8,3000
TE,3.5,3000
TE,3.4,3000
TE,3.2,3000
TE,3.1,3000
TE,3,3000
TE,3,3500
TE,2.8,3000
TE,2.7,3000
TE,2.5,3000
TE,1.9,3000
TE,1.8,3000
TE,1.6,3000
TE,1.2,3000
TE,1.2,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3200
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3200
TE,0,4900
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
TE,0,3000
Def,31,3000
Def,21,3600
Def,18,2800
Def,17,3500
Def,17,2700
Def,16,2800
Def,13,2500
Def,13,3100
Def,12,3300
Def,11,3200
Def,11,3200
Def,10,3000
Def,10,3100
Def,9,2300
Def,9,3200
Def,9,2700
Def,8,2800
Def,8,2200
Def,8,2400
Def,7,2500
Def,7,3100
Def,6,2900
Def,6,3000
Def,5,2100
Def,5,3300
Def,5,2900
Def,2,2900
Def,2,2600
Def,2,3100
Def,1,2300
Def,-1,3100
Def,-1,2300
QB,37.92,8000
QB,35.32,5700
QB,32.9,6800
QB,25.72,7700
QB,24.48,6200
QB,24.28,5800
QB,23.68,6100
QB,23.64,5000
QB,23.46,5300
QB,23.1,7100
QB,22.86,7400
QB,22.54,6600
QB,19.9,6000
QB,19.64,5500
QB,19.16,7000
QB,18.78,6700
QB,18.5,7900
QB,17.62,5100
QB,17.38,5100
QB,16.2,7000
QB,14.4,5000
QB,13.44,5400
QB,12.58,6300
QB,12.02,5000
QB,11.84,6400
QB,9.28,6300
QB,8.52,6300
QB,8.28,5200
QB,7.88,5200
QB,6.68,7200
QB,6.52,5000
QB,3.82,5000
QB,3.74,6200
QB,1.32,5000
QB,0,5000
QB,-0.2,5000
QB,-0.2,5000
QB,-0.3,5000
RB,45.3,4600
RB,31.2,7400
RB,31,4000
RB,30.5,5100
RB,28.2,4000
RB,27.6,7500
RB,26.2,7500
RB,24.9,5800
RB,23.5,3200
RB,22.9,3600
RB,22.8,3300
RB,22.6,3000
RB,22.4,4500
RB,20.9,5900
RB,20,3200
RB,19.6,3800
RB,17.7,4200
RB,14.6,3100
RB,14.5,3000
RB,13.4,3000
RB,13.2,3400
RB,13.1,3000
RB,12.2,4500
RB,11.7,7200
RB,11.3,4700
RB,10,3000
RB,9.6,6100
RB,9.5,5200
RB,9.5,4000
RB,9.5,3400
RB,8.9,3200
RB,8.7,4700
RB,8.6,5300
RB,7.8,3100
RB,7.4,7300
RB,7.4,3300
RB,7.4,4200
RB,7.4,3000
RB,7.3,4400
RB,7.1,5400
RB,7.1,4000
RB,6.9,6000
RB,6.9,3000
RB,6.6,3200
RB,6.2,4400
RB,6.1,4600
RB,6.1,3000
RB,6.1,3000
RB,6,3000
RB,5.2,4900
RB,5.2,3000
RB,5.1,5000
RB,5,4000
RB,4.9,0
RB,4.6,4800
RB,4.6,5100
RB,4.2,3000
RB,4.1,4300
RB,3.7,6200
RB,3.6,4500
RB,3.5,3000
RB,3.3,7400
RB,3.2,3000
RB,3.1,3000
RB,3.1,3000
RB,2.8,4000
RB,2.6,3000
RB,2.4,4700
RB,2.4,3000
RB,2.4,3000
RB,2.4,3000
RB,2.4,3000
RB,2.3,4300
RB,2.2,3000
RB,2.1,3200
RB,2.1,3000
RB,2.1,7300
RB,1.9,4700
RB,1.8,3000
RB,1.7,3000
RB,1.6,3000
RB,1.6,3000
RB,1.4,3000
RB,1.2,3100
RB,1.2,3000
RB,1.1,3000
RB,1,3000
RB,0.8,3000
RB,0.6,3000
RB,0.6,3000
RB,0.5,3400
RB,0.4,3000
RB,0.2,3000
RB,0.2,4400
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,-0.1,3000
WR,47.7,7200
WR,46.6,6300
WR,43.4,9000
WR,40.3,6800
WR,37.4,5800
WR,35.3,7300
WR,32.3,3800
WR,31.1,6000
WR,29.9,4800
WR,28.9,6200
WR,27.6,4000
WR,27.1,7400
WR,24.8,8900
WR,23.8,5000
WR,23.4,6200
WR,23.2,8000
WR,20.9,9000
WR,20.4,3600
WR,20.2,3800
WR,20.1,6600
WR,16.6,6400
WR,16.5,7000
WR,15.7,7900
WR,15.3,3000
WR,15.2,4400
WR,15,3700
WR,14.9,3300
WR,14.9,7100
WR,14.7,7600
WR,14.6,3000
WR,14.6,3000
WR,13.6,3500
WR,13.5,4200
WR,13.4,6700
WR,13.3,3300
WR,13.2,3000
WR,13.2,4800
WR,12.5,3000
WR,12.3,3300
WR,12.3,3000
WR,11.8,3500
WR,11.4,5200
WR,10.9,6900
WR,10.8,5200
WR,10.7,5700
WR,10.7,3000
WR,10.3,3900
WR,10.2,3300
WR,10,3000
WR,9.4,3000
WR,9.4,3000
WR,9.2,5100
